"Data Source","World Development Indicators",

"Last Updated Date","2025-04-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","473","486","498","516","537","552","567","572","594","579","582","676","576","577","591","596","615","628","","","","","","","","",
"Africa Eastern and Southern","AFE","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","511060.75","525895.875","548189.25","575074.8125","627088.5","658799.9375","683656.8125","711758.8125","751438.5","811373.75","851643.5625","883658.625","922150.3125","952468.5","979889.875","989124.375","1029193.375","1041187.9375","1063420.25","1145477","1147962.375","1191141.875","1200514.5","1199786.75","1180953.75","1225889","1224908.875","1230980.125","1272917.375","1305272.375","1332062.375","1358896.75","1400828.75","1457547.25","1534648.5","1622790","1711129.25","1823637.625","1945810.75","2000913.25","2105280.25","2133361","2233052.25","2362746.25","2533748.25","2645785","2740746.75","2858163.25","2986590.75","3010361.5","3037450.25","3113803.75","3174682","","",
"Afghanistan","AFG","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","13116","14651","14796","16293","17579","18558","20406","","","","","","","","","","","","","17089","15106","","","16160","20055","","","","32593","26385","","","","","","","110313","110312","113763","115454","118858","121593","129093","130957","","142880","140529","132347","134145","135751","","","","","",
"Africa Western and Central","AFW","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","211954.109375","228868.9375","245738.140625","257307.234375","263971.96875","273933.28125","286310.21875","329530.6875","415019.125","467254.65625","485837.75","535217.625","575553.625","603329.0625","607152.875","591965.1875","552754.1875","543519.9375","564639.625","605515.375","592426.5625","621813.875","658352.625","705824.3125","717758.875","712939.3125","713029.1875","734152","755270.6875","787888.5","810880.625","877025.1875","913853.3125","1029283.75","1063725.5","1103380.75","1096711.375","1049919.875","1077850.875","1162479","1259986.625","1439276.125","1354212.125","1674552.75","1695825.5","1700668.125","1758485.625","1829537.25","1895281.75","1856014.375","1855718.875","1948438.625","1977578.25","2003641.75","",
"Angola","AGO","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","","9786","11343","12622","17831","","","","","","","","40027","32004","33521","29191","31161","30310","31658","31953","","31062","36402","","","","","","32144","","","","","","","","","86769","","","93734","118158","","","","112352","95827","103562","88563","","","96805","96805","","",
"Albania","ALB","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13342","","","12551","12607","","11762","","","","","10277","11701","11409","10854","10605","10402","10343","10119","9867","9743","9723","9778","9668","9738","9668","9584","",
"Andorra","AND","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","","","","","","142","","","","","","","","355","","","","","","","","","","","","","","","","","","","324","343","337","356","413","432","448","433","453","433","431","436","427","419","422","406","412","411","411","410","422","418","",
"Arab World","ARB","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","462331.84375","481662.375","505930.71875","527380.25","545837.625","568372","602528.75","640989.1875","664219.1875","696497.5","736572.125","764372.875","799752.375","859120.875","900029.5","950157","1000223.25","1055826.375","1098299.625","1271456.625","1194399","1249328.375","1262339.5","1323316.75","1359950.75","1394664.25","1433338.75","1510056","1524943.375","1533505.5","1592528.625","1652944.875","1704046.5","1723306.75","1773192.625","1848874.125","1904306.75","1925159.25","1979973.875","1969828.5","2006527.375","2091231.375","2260650.25","2298346.25","2368570","2378595.75","2377519","2386573.25","2443868.5","2528565.25","2526985","2534022.75","2491033.5","2565690.5","",
"United Arab Emirates","ARE","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","","806","1103","1553","2022","2727","3191","3876","4179","4474","4949","5424","4838","5290","5278","5691","6123","6793","7220","10785","11921","12526","13139","13940","14754","15449","15779","16148","16563","16889","16916","17573","18704","16323","16971","17255","17596","16523","","19503","19401","19664","20019","23440","21644","19518","19073","","","29769","24646","","","37392","",
"Argentina","ARG","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","175929","181230","184508","183796","185566","195997","199256","199384","","206275","193640","200388","206535","","218520","229715","238818","252259","259579","","","","","","295488","","313764","309162","234143","221495","244412","274580","283403","","274232","279349","286782","302654","288776","","258025","258480","266518","269252","272654","275833","277100","280094","287067","289504","288107","289846","292277","","",
